player_name,position,age,current_club,interested_club,contract_expiry_date,market_value,last_updated,probability,loaded_at
Castello Lukeba,Centre-Back,22,RB Leipzig,Liverpool,"Jun 30, 2029",€50.00m,29.05.2025 - 20:56,0,2025-05-30 11:21:20
Lorenzo Scipioni,Central Midfield,20,Tigre,Colorado,"Dec 31, 2026",€2.00m,29.05.2025 - 20:53,0,2025-05-30 11:21:20
Rareș Pop,Right Winger,19,FC Rapid,Otelul Galati,"Jun 30, 2028",€750k,29.05.2025 - 19:42,65,2025-05-30 11:21:20
Bryan González,Left-Back,22,Pachuca,Chivas,"Jun 30, 2027",€4.50m,29.05.2025 - 19:17,83,2025-05-30 11:21:20
Sébastien Haller,Centre-Forward,30,Bor. Dortmund,Samsunspor,"Jun 30, 2025",€3.00m,29.05.2025 - 19:00,0,2025-05-30 11:21:20
Bryan González,Left-Back,22,Pachuca,Chivas,"Jun 30, 2027",€4.50m,29.05.2025 - 19:17,83,2025-05-30 11:21:20
Sébastien Haller,Centre-Forward,30,Bor. Dortmund,Samsunspor,"Jun 30, 2025",€3.00m,29.05.2025 - 19:00,0,2025-05-30 11:21:20
Mile Svilar,Goalkeeper,25,AS Roma,Napoli,"Jun 30, 2027",€17.00m,29.05.2025 - 17:58,60,2025-05-30 11:21:20
Barnabás Nagy,Left-Back,24,Nyíregyháza,Ferencváros,"Jun 30, 2026",€400k,29.05.2025 - 17:01,68,2025-05-30 11:21:20
Karol Struski,Central Midfield,24,Aris Limassol,Raków,"May 31, 2026",€1.50m,29.05.2025 - 13:13,68,2025-05-30 11:21:20
Morgan Ferrier,Centre-Forward,30,Omon. Aradippou,AEL Limassol,"May 31, 2025",€175k,29.05.2025 - 12:54,62,2025-05-30 11:21:20
Uros Tegeltija,Right Winger,19,Red Star U19,Zelez. Pancevo,"Jun 30, 2025",-,29.05.2025 - 12:49,62,2025-05-30 11:21:20
Claudy M'Buyi,Centre-Forward,25,SKN St. Pölten,Ahly SC,"Jun 30, 2026",€700k,29.05.2025 - 12:41,75,2025-05-30 11:21:20
Claudy M'Buyi,Centre-Forward,25,SKN St. Pölten,Göztepe,"Jun 30, 2026",€700k,29.05.2025 - 12:40,10,2025-05-30 11:21:20
Claudy M'Buyi,Centre-Forward,25,SKN St. Pölten,Rapid Vienna,"Jun 30, 2026",€700k,29.05.2025 - 12:39,23,2025-05-30 11:21:20
Claudy M'Buyi,Centre-Forward,25,SKN St. Pölten,Legia Warszawa,"Jun 30, 2026",€700k,29.05.2025 - 12:39,58,2025-05-30 11:21:20
Claudy M'Buyi,Centre-Forward,25,SKN St. Pölten,Slo. Bratislava,"Jun 30, 2026",€700k,29.05.2025 - 12:38,13,2025-05-30 11:21:20
Veljko Ilic,Goalkeeper,21,FK TSC,Olympiacos,"Jun 30, 2026",€3.50m,29.05.2025 - 11:54,57,2025-05-30 11:21:20
Dominik Holly,Central Midfield,21,Jablonec,Sparta Prague,-,€850k,29.05.2025 - 11:04,85,2025-05-30 11:21:20
Róbert Boženík,Centre-Forward,25,Boavista,Vit. Guimarães,"Jun 30, 2026",€4.00m,29.05.2025 - 10:42,75,2025-05-30 11:21:20
Yassine Benzia,Attacking Midfield,30,Qarabag FK,Esperance,"Jun 30, 2025",€1.20m,29.05.2025 - 09:57,35,2025-05-30 11:21:20
